seqnames	start	end	width	strand	inv
chr12	114048751	115707009	1658259	*	0
chr12	55778212	57183978	1405767	*	0
chr12	57757506	58763767	1006262	*	1
chr12	121861361	122779676	918316	*	1
chr12	54000001	54621030	621030	*	0
chr12	120823075	120980408	157334	*	0
chr12	71033882	72370042	1336161	*	0
chr12	123515543	123561431	45889	*	0
chr12	70408428	71033881	625454	*	1
chr12	123561432	124010898	449467	*	1
chr12	118397762	120411830	2014069	*	0
chr12	54621031	55778211	1157181	*	1
chr12	124604114	126000000	1395887	*	0
chr12	68000001	70408427	2408427	*	1
chr12	59578000	60000000	422001	*	1
chr12	122779677	123120918	341242	*	1
chr12	115707010	116528088	821079	*	1
chr12	120980409	121861360	880952	*	1
chr12	116528089	117907446	1379358	*	0
