seqnames	start	end	width	strand	inv
chr12	70279794	71186639	906846	*	0
chr12	54067464	54212714	145251	*	0
chr12	68156386	68730398	574013	*	1
chr12	72001570	72423894	422325	*	1
chr12	73562198	73670057	107860	*	0
chr12	56605019	56729824	124806	*	1
chr12	71186640	71534455	347816	*	1
chr12	57122447	58574351	1451905	*	1
chr12	68730399	70279793	1549395	*	1
chr12	58574352	59101589	527238	*	1
chr12	54212715	54579919	367205	*	0
chr12	71534456	71979249	444794	*	0
chr12	73486258	73562197	75940	*	0
chr12	55242886	55722789	479904	*	0
chr12	54000001	54067463	67463	*	0
chr12	73735683	74029547	293865	*	0
chr12	74886175	75000000	113826	*	0
